id,year,number,boolean,company,city
124,2004,0,true,Voonte,Ntaur Satu
125,2011,0,true,Babbleblab,Novyy Nekouz
126,2012,,true,Thoughtworks,Ban Houakhoua
127,1997,0,true,Yoveo,Las Flores
128,1995,1,false,Vitz,Doña Remedios Trinidad
129,2010,1,false,Tazzy,Adirejo
130,2007,1,true,Yotz,Tucano
131,2000,0,true,Thoughtbeat,Agios Dimitrios
132,1994,1,false,Realcube,Kinalansan
133,2008,0,false,Browsetype,Huifa
134,2011,1,true,Rhyloo,Condong
135,2002,,false,Wikizz,Angoram
136,2005,1,true,Brainbox,Basar
137,2008,0,false,Pixope,Di Linh
138,1991,1,true,Wordtune,Henggang
139,1994,1,true,Bubblemix,Saint-Grégoire
140,1997,1,true,Demivee,Pétionville
141,1997,1,false,Gabvine,Kota Kinabalu
142,2001,0,false,Devpoint,Mianduhe
143,2012,0,false,Twitterbeat,Veiga
144,2010,1,true,Feedmix,Agen
145,2005,,true,Ntags,Saint-Bruno
146,2005,0,true,Shuffledrive,Haixing
147,1995,1,false,Kwimbee,Maubara
148,1998,1,false,Yambee,Lopez Jaena
149,1997,0,false,Izio,La‘l
150,1996,1,true,Topicblab,Jubaoshan
151,2010,0,true,Zoomzone,La Tigra
152,1948,1,true,Avavee,Kadoma
153,1997,1,true,Demizz,Alingsås
154,2004,1,true,Wikivu,Balbagay
155,2010,0,false,Youbridge,Kampungbaru
156,1992,0,false,Dynazzy,Ban Houakhoua
157,1985,1,false,Lajo,Duczki
158,1987,1,true,Trilia,Loma Bonita
159,2001,0,false,Skiba,Lukou
160,2010,1,true,Midel,Little Current
161,2008,,false,Voolia,Jiancha
162,1986,1,true,Eidel,Santo Niño
163,2002,1,false,Fiveclub,Mīrpur Māthelo
164,2002,1,true,Zava,Robertsfors
165,2002,1,false,Kwinu,Bitin
166,1984,0,true,Devpulse,Vila Fria
167,2005,0,false,Devpulse,Cipinang
168,2012,0,false,Quamba,Vetluzhskiy
169,2005,0,false,Meembee,Tulsa
170,1997,0,false,Mydeo,Kahrīz
171,1996,1,true,Cogibox,Moog
172,1993,1,true,Buzzbean,Fontenay-sous-Bois
173,2001,0,true,Oyonder,Cofimvaba
174,2007,0,true,Yodoo,Manning
175,2001,1,true,Leenti,Chegdomyn
176,1995,,false,Meevee,Shuinanxu
177,2006,0,true,Realblab,Pedregal
178,1993,0,false,Brainsphere,Pare
179,1995,0,true,Camimbo,Centralniy
180,2004,0,true,Kaymbo,Kurortnyy
181,2006,0,false,Dabfeed,Ginebra
182,1993,0,false,Camido,Batujaran
183,2005,0,false,Buzzster,Troparëvo
184,2008,0,true,Realcube,Charlesland
185,2003,,false,Realblab,Huangbayi
186,2002,0,false,Podcat,San Antonio Aguas Calientes
187,1967,1,false,Quatz,Rybnoye
188,2006,1,false,Brainlounge,Baota
189,2008,0,false,Oyoyo,Istres
190,1986,1,true,Gigaclub,Asbestos
191,2009,0,false,Leexo,Nishinoomote
192,1992,1,true,Tanoodle,Jinkou
193,1997,,false,Brainsphere,Alavieska
194,1994,0,false,Kwideo,Yijing
195,2007,1,false,Eimbee,Okazaki
196,2011,,false,Zazio,Masaling
197,1999,,false,Babbleblab,Ptghunk’
198,2007,1,true,Gigazoom,Tulaghi
199,1999,1,false,Twitternation,Partizan
200,2005,,false,Twitterbridge,Pompéia
201,2010,1,true,Centimia,Xieshui
202,1991,,true,Chatterpoint,Hamburg Winterhude
203,2000,1,false,Quatz,Kimberley
204,1967,0,false,Tagopia,Kebon
205,1992,1,false,Mymm,São Fidélis
206,2008,1,true,Twitternation,Kleszczewo
207,1998,1,false,Einti,Korenëvo
208,1995,0,false,Wordify,Caledon
209,1985,1,false,Chatterbridge,Sa Bot
210,1991,1,true,Thoughtbeat,Bulri
211,2005,0,false,Fadeo,Tetovo
212,2005,,true,Quinu,Dakoutun
213,1997,0,true,Trudoo,Dajasongai
214,2009,0,true,Plambee,Frutal
215,1998,1,true,Dynava,Jefferson City
216,2011,0,true,Thoughtbridge,Garunggang
217,2006,0,true,Mymm,Tríkala
218,2009,1,true,Skippad,Longtian
219,1989,0,false,Nlounge,Figueiró dos Vinhos
220,1993,1,true,Topicshots,Cileles
221,2009,0,false,Skipstorm,Xinli
222,1996,0,false,Vidoo,Puerto Quijarro
223,1994,0,true,Thoughtsphere,Jaworzyna Śląska
224,1990,,false,Yakidoo,Lido
225,2003,0,true,Yabox,Longshan
226,1995,1,false,Devcast,Huidong
227,1998,0,true,Voonyx,Samal
228,2007,1,false,Eare,Marang
229,1999,1,false,Rhynoodle,Verkh-Usugli
230,2012,0,false,Skippad,Tân Châu
231,2006,0,true,Babbleset,Brisbane
232,1998,1,true,Fivechat,Aryiropoúlion
233,1993,0,true,Yodel,Zhoupu
234,1988,0,false,Yozio,Chavusy
235,2008,1,true,Meetz,Pandean
236,2010,0,true,Gigaclub,Pittsburgh
237,1994,1,true,Jazzy,Jevremovac
238,2010,0,false,Buzzster,Mityana
239,2005,0,false,Eamia,Karangampel
240,1977,0,true,Leexo,Mikstat
241,2006,1,false,Dazzlesphere,Khuzdār
242,2002,1,false,Photobug,Maluso
243,2008,,false,Meevee,Rabig
244,2008,1,true,Katz,Orléans
245,2011,1,false,Topicstorm,Ostroměř
246,2009,1,false,Linktype,Salvacion
247,2001,,true,Trunyx,Doumen
248,2002,1,false,Jaxworks,Huangji
249,2013,1,true,Skilith,Gromadka
250,2013,1,true,Kwilith,Gaojian
251,1991,0,false,Meedoo,Paraguaçu
252,1991,0,true,Oyoba,Daba
253,2005,0,false,Kwilith,Souziqiu
254,1986,1,false,Kazio,Boca Raton
255,2013,1,false,Wikido,Shani
256,1994,0,false,Youspan,Carmen
257,1999,1,false,Livetube,Monte Mor
258,2009,1,false,Yodel,Chixi
259,1993,0,true,Izio,Apaga
260,2011,0,true,Photobean,Jinlong
261,1995,1,false,Thoughtmix,Pinsk
262,1988,,true,Aivee,San Bernardino
263,1997,0,true,Dabvine,Jiangyin
264,1997,0,true,Skyvu,Isojoki
265,1995,1,true,Dablist,Kuče
266,2011,1,false,Blogpad,Bystřany
267,2007,1,true,Youspan,Huangcun
268,1984,1,false,Meemm,Uppsala
269,1993,1,false,Photobean,Sarulla
270,1991,0,true,Edgepulse,Lelydorp
271,2004,0,false,Skyvu,A dos Negros
272,2009,0,false,Kwideo,Orangeville
273,2011,0,false,Realpoint,Xiaoyangqi
274,1995,1,false,Voomm,San Antonio
275,2010,0,true,Ooba,Flagstaff
276,2012,0,false,Fanoodle,Międzybrodzie Bialskie
277,2011,1,false,Roodel,Tortosendo
278,1995,1,true,Jazzy,Danville
279,1989,1,false,Zoomcast,Oliveiras
280,1993,0,true,Npath,Zaragoza
281,1998,,true,Brainlounge,Žamberk
282,1993,0,true,Zoonoodle,Legrada
283,2005,1,false,Kwideo,Wenfeng Zhen
284,2006,0,false,Devcast,Kocēni
285,2008,1,false,Oyope,Malimaneek
286,2004,0,false,Buzzster,Olmos
287,2004,1,true,Jabbersphere,Calibutbut
288,2005,1,false,Flashdog,Matelândia
289,1997,0,true,Dabjam,Jubb Ramlah
290,2007,0,true,JumpXS,Maggotty
291,2009,,true,Podcat,Pentre
292,1999,1,true,Centizu,Butigui
293,1994,1,true,Dynava,Mosul
294,2009,0,true,Dabshots,Bromma
295,2012,1,false,Lajo,Phanna Nikhom
296,2002,0,true,Zava,Ciklapa
297,1998,1,false,Wikibox,Laiyuan
298,1995,1,true,Katz,Bílovec
299,2008,1,false,Digitube,Tatsuno
300,1992,1,false,Kaymbo,Kassiri
301,2005,0,false,Quinu,Tajumulco
302,2006,1,false,Zoomlounge,Charlotte Amalie
303,2007,0,true,Buzzshare,Porto Formoso
304,2001,1,true,Wordware,Bollène
305,2004,0,false,Yabox,Candating
306,2006,0,false,Camimbo,Majia
307,2008,0,false,Lazzy,Viekšniai
308,2009,1,true,Bluejam,Kolodenka
309,1995,0,true,Zoonoodle,Xingdian
310,1995,0,false,Jaxbean,Gunungkendeng
311,2005,0,false,Meedoo,Xianxiang
312,1989,0,true,Centimia,Chokwé
313,1995,0,true,Edgeify,Pyin Oo Lwin
314,1957,0,true,Chatterpoint,Tarouca
315,2011,0,true,Topiclounge,Conel
316,1987,1,false,Tagcat,San Esteban
317,2001,0,true,Browsedrive,Sukakerta
318,1984,,false,Trudoo,Sharan
319,1990,1,false,Fliptune,Xinminxiang
320,2005,0,true,Pixoboo,Mingyu
321,2000,1,true,Dabjam,Diavatá
322,1994,1,true,Vimbo,Montemor-o-Velho
323,2001,1,false,Avaveo,Guinticgan
324,2009,0,true,Twitterworks,Sahavato
325,2003,1,true,Jabberbean,Vysokovsk
326,2009,1,true,Ntags,Xiaping
327,2001,,false,Oyonder,Kanugrahan
328,2008,1,false,Blogtags,Velké Karlovice
329,1993,1,true,Eire,Loa Janan
330,1989,0,true,Zoomlounge,Níkiti
331,1993,1,false,Wikibox,Kyrenia
332,2001,1,false,Trudeo,Benjamín Aceval
333,2011,,false,Aivee,Neuilly-sur-Seine
334,1994,0,true,Oyoyo,Saint-Jérôme
335,1992,1,false,Skyble,Puunage
336,2007,1,true,Oloo,Kacangan Lor
337,2005,0,false,Babbleblab,Danzi
338,1989,1,false,Twinte,Bulualto
339,1990,0,false,Wikido,Sydney
340,1995,0,false,Skaboo,Teculután
341,2007,1,false,Camimbo,Gedera
342,2008,1,true,Meeveo,Moch
343,2006,0,false,Talane,Zelenodolsk
344,2002,,false,Edgepulse,Saraqinishtë
345,2007,,true,Ntag,Thạnh Hóa
346,1992,1,true,Roodel,Xiguantun Muguzu Manzuxiang
347,2011,,false,Mynte,Zamoskvorech’ye
348,1997,0,false,Kwilith,Atães
349,2011,0,true,Jabbersphere,Pirassununga
350,2004,,true,Twitterwire,Uruzgān
351,2012,1,true,Jabbersphere,Dadaha
352,2003,1,false,Voonder,Velikooktyabr’skiy
353,2004,1,false,Brainlounge,Caromatan
354,2002,1,false,Edgeify,Weepanapi
355,1984,0,false,Livefish,Adirejo
356,2004,0,false,Talane,Château-Richer
357,1992,0,true,Oyoba,Al Maḩallah al Kubrá
358,2004,1,true,Trudeo,Siilinjärvi
359,1997,0,false,Roomm,Kafr Takhārīm
360,2005,,false,Dabjam,Oakland
361,2006,0,false,Voonte,Dūkštas
362,1992,1,true,Skivee,Machang
363,2011,1,true,Skinder,Gonzalo Pizarro
364,1998,1,false,Oyoloo,Mundolsheim
365,2009,1,true,Twimbo,Sumurgayam
366,2004,0,true,Gigazoom,Suicheng
367,1994,0,false,Voonder,Mbaïki
368,1996,0,true,Aimbo,Horka nad Moravou
369,2003,0,true,Skinte,Nanjie
370,2011,0,true,Flashdog,Cerava
371,1987,1,true,Topiczoom,Getulio
372,1997,1,false,Fivespan,Wutong
373,2000,0,true,Fivebridge,Petrovskiy
374,2005,0,false,Ainyx,Ladan
375,1965,,false,Yodo,Mniszków
376,1992,0,true,Devpulse,Padasuka
377,1984,1,true,Jabbercube,Saint David’s
378,1990,1,false,Livetube,Al Matūn
379,2002,1,true,Topicblab,Västerås
380,1995,0,false,Voonte,Chashnikovo
381,1993,,true,Youspan,Filimonovo
382,2011,0,false,Rhyloo,Komprachcice
383,2008,0,false,Meeveo,As Salţ
384,2005,0,true,Shufflebeat,Longzhou
385,1992,1,false,Yodoo,Valencia
386,1972,1,true,Flipopia,Santa Cruz do Capibaribe
387,2000,0,true,Yacero,Progreso
388,1991,0,true,Avaveo,Salerno
389,1988,0,true,Quire,Dazhigu
390,2006,0,false,Realfire,San Isidro
391,1995,1,false,Tagchat,Seputih
392,1967,0,true,Kwinu,Flores da Cunha
393,1987,0,true,Oyoloo,Medellín
394,2010,0,true,Babblestorm,Ganxi
395,2012,1,false,Riffwire,Pulau Pinang
396,2004,0,true,Quinu,Margoyoso
397,1992,0,true,Eimbee,Lexington
398,1986,1,true,Realblab,Qiantang
399,2011,0,false,Zazio,Tonggoh
400,2004,1,true,Mydeo,Dongqiao
401,2003,1,false,Voolia,Vitoria-Gasteiz
402,2008,0,true,Edgeblab,Cimanggu
403,2003,,true,Twitterbeat,Sekongkang Bawah
404,2010,0,false,Oba,Kure
405,2011,0,true,Agivu,Olkusz
406,1994,0,false,Talane,Tabira
407,2001,1,true,Yodoo,Gunjur
408,2007,1,true,Skynoodle,Gustavsberg
409,1993,0,false,Blogtag,As Sālimīyah
410,2006,1,false,Zoomzone,Quận Tân Phú
411,2002,1,false,Skyble,Pelabuhanratu
412,2010,1,false,Voolith,Montréal-Ouest
413,2009,1,false,Chatterpoint,Sardasht
414,1997,0,false,JumpXS,Molde
415,1987,1,false,Katz,Novaya Tavolzhanka
416,2008,0,false,Devbug,Suvorov
417,2003,0,false,Skinix,Askiz
418,2006,,true,Voonyx,Kamphaeng Phet
419,2003,,true,Dabvine,Scholkine
420,2009,1,true,Tagcat,Svobody
421,2008,0,true,Minyx,Aykol
422,2004,0,true,Meevee,Lewolang
423,2002,1,true,Vinte,Cileunyi
424,1999,0,false,Realpoint,Acul du Nord
425,1994,0,false,Jabbertype,Chambly
426,2006,1,true,Voonder,Manjing
427,2006,0,false,Thoughtbridge,Liutao
428,1995,0,true,Quatz,Muhur
429,2009,0,false,Riffpedia,Donja Dubica
430,2004,1,false,Rhyzio,Gumalang
431,2006,0,false,Oyoba,Citasuk
432,2004,1,false,Yakidoo,Riosucio
433,2004,1,false,Digitube,Yuanjue
434,1993,0,true,Eadel,Runting
435,1971,1,false,Rhycero,Solna
436,2003,0,false,Browsezoom,Bunobogu
437,2008,1,false,Devcast,Fonte do Feto
438,1998,1,true,Ntag,Lamas
439,2007,,false,Kazu,Zhoutie
440,2006,,false,Avaveo,Botucatu
441,1993,,false,Yamia,Hernández
442,2009,1,true,Cogidoo,Hushi
443,2000,0,false,Tagpad,Pyay
444,2011,0,false,Muxo,Tanabe
445,2007,1,true,Reallinks,Santo Amaro
446,2001,1,true,Viva,‘Eilabun
447,1984,1,false,Devpulse,Mokolo
448,2009,0,true,Devbug,Dasha
449,1997,1,true,Oyoba,Xianxi
450,2004,0,false,Riffpedia,Mojoagung
451,2012,,false,Browseblab,Tangalla
452,1995,1,true,Avavee,Huurch
453,2003,1,true,Trilia,Psary
454,2007,1,false,Babbleopia,Youzha
455,1985,0,false,Jaxspan,Kanoni
456,1994,0,true,Tagchat,Taoyuan
457,1997,1,false,Zoonoodle,Jiandou
458,1996,0,false,Linktype,Meicheng
459,1989,1,true,BlogXS,Sumberan
460,2012,1,false,Zooveo,Acomayo
461,1992,0,false,Mycat,Tetovo
462,2006,0,true,Yadel,Frydrychowice
463,2006,1,true,Geba,Charopó
464,2010,1,true,Thoughtmix,Victoria
465,2009,0,false,Jazzy,Hesi
466,2009,1,false,Cogilith,Sidi Smaïl
467,2002,1,true,Jabbersphere,Toledo
468,1987,0,false,Skynoodle,‘Aşīrah al Qiblīyah
469,2008,0,true,Roomm,Caucagüito
470,2007,0,true,Babbleopia,Julun
471,1989,,false,Trudoo,Boldumsaz
472,2009,0,false,Meeveo,Talcahuano
473,1998,0,false,Yotz,Jarash
474,2005,1,false,Tambee,Kamo
475,2005,0,true,Twitterwire,Liulin
476,1994,1,false,Plajo,Sutton
477,1993,,false,Snaptags,Palue
478,2005,1,false,Jatri,Chiang Khan
479,1986,0,false,Nlounge,Maduao
480,2000,0,false,Skipfire,Petaling Jaya
481,2002,0,true,Skinix,Ronda
482,2012,1,false,Quimm,Ngondokandawu
483,1989,0,false,Eamia,Křižanov
484,2008,0,true,Mymm,Ramon Magsaysay
485,2007,0,false,Eayo,Pantaibesar
486,1997,0,false,Dynabox,Jiangbei
487,2005,1,true,Tagfeed,Getahovit
488,2011,0,false,Abata,Batatais
489,1996,0,false,Katz,Smederevska Palanka
490,2002,0,false,Twitterbeat,Till
491,2011,0,true,Bubblemix,Jelsa
492,1992,1,false,Yozio,Prozor
493,2007,0,false,Thoughtbeat,Katy
494,2005,1,false,Voonte,Uppsala
495,1986,0,true,JumpXS,Qixing
496,2003,1,true,Realbuzz,Lisala
497,1992,,true,Jamia,Ventanas
498,2012,0,true,Plambee,Ituiutaba
499,2001,1,true,Jaloo,Huanghe
500,1992,1,false,Tagtune,Chancay
501,1984,1,true,Abatz,Korets’
502,2011,1,false,Jatri,Jinglongqiao
503,1996,0,true,Zooveo,Ángeles
504,2010,1,true,Browsecat,Zalţan
505,1993,1,true,Yambee,Deauville
506,1992,0,true,Topicstorm,Pujiang
507,2013,,false,Bluejam,Longxian Chengguanzhen
508,2012,0,false,Twitterworks,Gebang
509,1966,0,false,Eabox,Kipit
510,2004,1,true,Meejo,Södertälje
511,1996,0,false,Voomm,Luwingu
512,2004,0,false,Twimm,Ad Darbāsīyah
513,2002,1,false,Avamba,Vannes
514,1994,,false,Yodoo,Salimbalan
515,1995,0,false,Yotz,Brignoles
516,2000,0,false,Jabberstorm,Thung Khru
517,2012,,true,Skibox,Montpellier
518,2002,0,false,Riffpath,Krzyżanów
519,1999,0,false,Mudo,Palmira
520,2012,0,false,Blogtags,Pingya
521,1999,1,true,Oozz,Sanshilipu
522,2008,1,false,Wordware,Vilarinho das Cambas
523,1994,0,true,Cogidoo,Playas
524,1995,1,true,Tagopia,Usarin
525,1997,1,false,Livetube,Jiuheyuan
526,2003,0,true,Innojam,Vom
527,2000,1,false,Livefish,Yläne
528,2001,0,false,Divape,Terbangan
529,2008,0,false,Voonder,Artemivs’k
530,2009,1,false,Skipstorm,Shamanka
531,1999,1,true,Jaxnation,Denton
532,2002,0,true,Wordpedia,Randusari
533,1997,1,true,Wordware,Juhut
534,1995,1,true,Feedmix,Cerro
535,2002,0,true,Bluejam,Nepomuceno
536,2004,1,true,Quimba,Nanganumba
537,1997,1,true,Skyvu,Gumalang
538,1994,1,false,Voomm,Qiawan
539,1995,1,true,Muxo,Jembatandua
540,1986,0,true,Voonte,Vacha
541,2004,0,true,Youspan,Puerto Bello
542,1996,0,true,Kazio,Manhumirim
543,2011,0,true,Flipbug,Manis Mekarwangi
544,1997,1,false,Tanoodle,Belsk Duży
545,1991,0,true,Thoughtbridge,Motala
546,1998,0,false,Demimbu,Caldas Novas
547,1997,1,true,Twiyo,Tayasan
548,1994,1,false,Mycat,Daji
549,1997,1,true,Eayo,Pagersari
550,1990,,true,Realcube,Dolsk
551,2006,0,true,Agimba,Cherëmushki
552,2004,1,true,Yombu,Culubasa
553,2004,0,false,Edgepulse,Brodósqui
554,1995,1,false,Devpulse,Memaliaj
555,1992,1,true,Skidoo,Cabano
556,2003,0,false,Devpoint,Al Khirāb
557,1998,0,true,Devbug,Jelah
558,2011,1,true,Geba,Dachang
559,2008,0,false,Tagtune,Silihe
560,2008,1,false,Kanoodle,Victoria
561,2012,0,true,Divavu,Alcaldedíaz
562,2010,1,false,Jaxworks,Szynwałd
563,1996,1,false,Zoovu,Sananrejo
564,2001,0,false,Brainbox,Solkan
565,1986,0,true,Pixonyx,Shuangxi
566,2006,1,true,Photobean,Shuitianzhuang
567,2004,0,false,Gabvine,Al Fākhūrah
568,1996,1,false,Topdrive,Bronkhorstspruit
569,2009,,true,Zoomdog,Huxi
570,2007,0,false,Yacero,Molde
571,1988,1,false,Photobean,Puerto Bello
572,2010,1,false,Riffpedia,Hongchun
573,2012,0,false,Wordify,Dayangzhou
574,1988,1,false,Muxo,Alor Setar
575,2009,1,true,Jetwire,Tinaquillo
576,2009,1,false,Voonder,Marolambo
577,2003,,false,Katz,Okrika
578,2001,0,true,Devpulse,Foros de Salvaterra
579,2004,0,true,Trupe,Malibago
580,1998,1,false,Dabfeed,Salvador
581,1998,1,true,Fivebridge,Tánh Linh
582,2009,0,true,Skilith,Beo
583,2012,1,false,Livepath,Pradera
584,2001,0,true,Geba,Svilengrad
585,2009,1,false,Feednation,Ḏânan
586,2000,0,true,Jabberstorm,Międzyrzecz
587,2002,0,true,Youspan,Västerås
588,1995,1,true,Jabbercube,Donostia-San Sebastian
589,1989,1,true,Jaloo,São Domingos
590,2004,1,false,Vidoo,Pulupandan
591,2008,0,false,Yabox,Shimen
592,1989,,true,Photobug,Qiancheng
593,1991,1,false,JumpXS,Bình Minh
594,1989,0,false,Realbuzz,Pevek
595,1994,0,false,Fadeo,Ilaya
596,2011,0,false,Meemm,Fada
597,2010,,true,Tekfly,Neepawa
598,2008,0,false,Yacero,Nesterovskaya
599,2011,1,false,JumpXS,Sekararum
600,2005,0,false,Skimia,Staryy Sambor
601,1994,0,false,Shuffletag,Villa Ascasubi
602,2009,1,false,Avavee,Foundiougne
603,1993,0,false,Fivebridge,Hejiabao
604,2011,1,false,Jetpulse,Andamui
605,1999,,true,Zoomcast,Nanggewer
606,1986,0,true,Jatri,Butungan
607,2003,0,false,Myworks,Jindayris
608,1993,1,true,Flashdog,Penang
609,1987,0,false,Mymm,Doibang
610,2002,1,false,Gigazoom,Lymanske
611,2003,0,false,Skilith,Maseru
612,2004,1,false,Trudoo,Coronel Fabriciano
613,2008,,true,Oyondu,Rafaela
614,2000,0,true,Meedoo,Węgry
615,1991,1,true,Jatri,Vallentuna
616,1988,1,false,Katz,Truskolasy
617,1965,0,true,Rhyloo,La Valette-du-Var
618,2004,1,true,Rhyloo,Jombang
619,1997,0,false,Twitterbeat,Shah Alam
620,2012,1,true,Skynoodle,Yerevan
621,2007,0,true,Skyble,Burujul
622,1994,1,false,Twitterworks,Bandungan Timur
623,1994,1,true,Voonyx,Shihua
624,2012,0,true,Twitterbridge,Tianchi
625,1995,,false,Oloo,Birmingham
626,1986,1,false,Twinte,Xing’an
627,1991,0,false,Livetube,Ladhewāla Warāich
628,2000,1,true,Oyoyo,Padina
629,2008,0,true,JumpXS,Guashe
630,2012,1,false,Jabbertype,Palaióchora
631,1993,0,true,Kayveo,Songea
632,2006,0,false,Teklist,Chiguata
633,1997,0,false,Mynte,Dłutów
634,2005,1,true,Npath,Huating
635,1999,0,false,Myworks,Paranaíba
636,1993,0,true,Dynabox,Sława
637,1998,0,false,Zoonoodle,Santiago Atitlán
638,1992,1,true,Eidel,Malartic
639,1996,,true,Viva,Konduga
640,2009,1,true,Topicshots,Arteni
641,2008,1,false,Thoughtbridge,Shishan
642,2011,1,true,Kazu,El Paso
643,1993,,false,Buzzdog,Dartang
644,2001,1,false,Mycat,Matumadua
645,1990,0,false,Voolia,Yŏnan-ŭp
646,2009,1,false,Babbleset,Santo António
647,1995,1,true,Jamia,Jinli
648,2005,0,true,Tekfly,Pakuwon
649,2001,1,false,Thoughtbeat,Fuxing
650,1996,0,true,Abatz,Ouango
